archive,placements_member,board_id,target_method,source_label,rectangle_count,target_travel_mode_cost,target_machining_cost,target_runtime_ms
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_prefix_beam\seed_1003\placements.csv,342,process_aware_beam_adaptive_polished,process_aware_beam,29,11401.463995958404,0.0,338.5891670000092
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1000\placements.csv,347,process_aware_beam_adaptive_polished,event_gate_selected_candidate,25,9774.3016214372,0.0,623.6733329999993
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1000\placements.csv,348,process_aware_beam_adaptive_polished,event_gate_selected_candidate,26,9343.284926599761,0.0,807.6909999999984
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1000\placements.csv,349,process_aware_beam_adaptive_polished,process_aware_beam,29,9465.261559273325,0.0,305.523749999999
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1001\placements.csv,343,process_aware_beam_adaptive_polished,process_aware_beam,22,6544.082045591249,0.0,242.59975000000367
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1001\placements.csv,347,process_aware_beam_adaptive_polished,event_gate_selected_candidate,24,8966.441481670703,0.0,893.8182499999954
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1001\placements.csv,348,process_aware_beam_adaptive_polished,process_aware_beam,28,11443.056244185434,0.0,318.0888750000008
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1002\placements.csv,346,process_aware_beam_adaptive_polished,process_aware_beam,23,8389.223933175428,0.0,542.2709589999926
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1002\placements.csv,348,process_aware_beam_adaptive_polished,process_aware_beam,29,9266.470867840388,0.0,378.26920799999186
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1002\placements.csv,349,process_aware_beam_adaptive_polished,event_gate_selected_candidate,24,9627.642677605414,0.0,730.4435000000069
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1003\placements.csv,347,process_aware_beam_adaptive_polished,process_aware_beam,25,8136.9108077467545,0.0,284.7357079999995
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1003\placements.csv,348,process_aware_beam_adaptive_polished,event_gate_selected_candidate,25,10504.966259480345,0.0,662.2122919999924
review_overnight_20260422.zip,review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\rh_mcts_ref\seed_1003\placements.csv,349,process_aware_beam_adaptive_polished,process_aware_beam,28,10434.480501689508,0.0,326.906582999996
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1001/placements.csv,149,process_aware_beam_adaptive_polished,process_aware_beam,21,9188.068116717403,0.0,475.2814590000014
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1001/placements.csv,150,process_aware_beam_adaptive_polished,event_gate_selected_candidate,21,10859.666186113207,0.0,422.6936660000007
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1002/placements.csv,149,process_aware_beam_adaptive_polished,process_aware_beam,21,9188.068116717403,0.0,473.3332079999997
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1002/placements.csv,150,process_aware_beam_adaptive_polished,event_gate_selected_candidate,21,10859.666186113207,0.0,422.31574999999566
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1003/placements.csv,149,process_aware_beam_adaptive_polished,process_aware_beam,21,9188.068116717403,0.0,544.1476660000006
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1003/placements.csv,150,process_aware_beam_adaptive_polished,event_gate_selected_candidate,21,10859.666186113207,0.0,428.9516249999963
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1004/placements.csv,149,process_aware_beam_adaptive_polished,process_aware_beam,21,9188.068116717403,0.0,559.8029589999953
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/baseline_pilot/seed_1004/placements.csv,150,process_aware_beam_adaptive_polished,event_gate_selected_candidate,21,10859.666186113207,0.0,584.652124999991
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_prefix_beam/seed_1001/placements.csv,149,process_aware_beam_adaptive_polished,topology_process_aware,21,7811.9967579456925,0.0,402.48291600001096
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_prefix_beam/seed_1001/placements.csv,150,process_aware_beam_adaptive_polished,event_gate_selected_candidate,27,10345.6359990227,0.0,911.0089999999929
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_prefix_beam/seed_1002/placements.csv,149,process_aware_beam_adaptive_polished,process_aware_beam,21,9188.068116717403,0.0,474.1477500000002
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_prefix_beam/seed_1002/placements.csv,150,process_aware_beam_adaptive_polished,event_gate_selected_candidate,21,10859.666186113207,0.0,430.365000000009
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_prefix_beam/seed_1003/placements.csv,149,process_aware_beam_adaptive_polished,process_aware_beam,21,9188.068116717403,0.0,481.31425000001116
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_prefix_beam/seed_1003/placements.csv,150,process_aware_beam_adaptive_polished,event_gate_selected_candidate,21,10859.666186113207,0.0,428.1405419999942
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_prefix_beam/seed_1004/placements.csv,149,process_aware_beam_adaptive_polished,topology_process_aware,21,8460.997462486337,0.0,541.3661669999925
strong_baseline_overnight_20260407_001243.zip,strong_baseline_overnight_20260407_001243/exp_strong_repeat_ind_5seed_300s/exp_strong_repeat_ind_5seed_300s__data6/rh_mcts_prefix_beam/seed_1004/placements.csv,150,process_aware_beam_adaptive_polished,process_aware_beam,26,10781.127520910602,0.0,259.7631250000063
