action_index,action_type,travel_mode,start_x,start_y,end_x,end_y,length,cutting_unit_id,segment_id,low_clearance_collision_penalty,collision_penalty,boundary_penalty,safe_lift_count,safe_lift_distance,detour_count,detour_distance,travel_mode_cost,stability_penalty_delta,released_parts_before,released_parts_after,unstable_parts_before,unstable_parts_after,unstable_part_ids_before,unstable_part_ids_after,processed_segments_before,processed_segments_after
12,cut,low_clearance,331.0,647.0,5.0,647.0,326.0,shared_edge:1769:bottom|746:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,18,20
13,cut,low_clearance,5.0,647.0,5.0,1186.0,539.0,collinear_edge:1394:left|1769:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,20,22
14,cut,low_clearance,5.0,1186.0,320.0,1186.0,315.0,single:1394:top,1394:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,22,23
15,travel,low_clearance,320.0,1186.0,331.0,1210.0,26.400757564888174,collinear_edge:2433:top|646:top,,0.0,0.0,0.0,0,0.0,0,0.0,26.400757564888174,0.0,1,1,0,0,,,23,23
16,cut,low_clearance,331.0,1210.0,981.0,1210.0,650.0,collinear_edge:2433:top|646:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,23,25
17,cut,low_clearance,981.0,1210.0,981.0,955.0,255.0,shared_edge:1221:left|2433:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,25,27
18,travel,low_clearance,981.0,955.0,1002.8,955.0,21.799999999999955,shared_edge:1221:bottom|498:top,,0.0,0.0,0.0,0,0.0,0,0.0,21.799999999999955,0.0,1,1,0,0,,,27,27
19,cut,low_clearance,1002.8,955.0,1310.0,955.0,307.20000000000005,shared_edge:1221:bottom|498:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,27,29
20,cut,low_clearance,1310.0,955.0,1310.0,1214.0,259.0,single:1221:right,1221:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,29,30
21,travel,low_clearance,1310.0,1214.0,1332.8,1213.5,22.805481797146882,collinear_edge:347:top|9:top,,0.0,0.0,0.0,0,0.0,0,0.0,22.80548179714689,0.0,1,1,0,0,,,30,30
22,cut,low_clearance,1332.8,1213.5,1978.8,1213.5,646.0,collinear_edge:347:top|9:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,30,32
23,cut,low_clearance,1978.8,1213.5,1978.8,929.5,284.0,shared_edge:347:right|507:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,32,34
24,cut,low_clearance,1978.8,929.5,1936.8,929.5,42.0,shared_edge:2414:top|347:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,34,36
25,cut,low_clearance,1936.8,929.5,1936.8,636.5,293.0,shared_edge:1689:right|2414:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,36,38
26,cut,low_clearance,1936.8,636.5,1928.0,636.5,8.799999999999955,shared_edge:1689:bottom|1914:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,38,40
27,cut,low_clearance,1928.0,636.5,1617.0,636.5,311.0,shared_edge:1689:bottom|1874:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,40,41
28,travel,low_clearance,1617.0,636.5,1598.8,636.5,18.200000000000045,shared_edge:1384:right|1689:left,,0.0,0.0,0.0,0,0.0,0,0.0,18.200000000000045,0.0,1,1,0,0,,,41,41
29,cut,low_clearance,1598.8,636.5,1598.8,655.0,18.5,shared_edge:1384:right|1689:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,41,43
30,travel,low_clearance,1598.8,655.0,1577.8,655.0,21.0,shared_edge:1384:top|2434:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,21.0,0.0,1,1,0,0,,,43,43
31,cut,low_clearance,1577.8,655.0,1332.8,655.0,245.0,shared_edge:1384:top|2434:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,43,45
32,cut,low_clearance,1332.8,655.0,664.8,655.0,668.0,collinear_edge:2710:bottom|498:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,45,47
33,cut,low_clearance,664.8,655.0,664.8,926.0,271.0,shared_edge:2710:left|759:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,47,49
34,travel,low_clearance,664.8,926.0,654.0,926.0,10.799999999999955,shared_edge:646:bottom|759:top,,0.0,0.0,0.0,0,0.0,0,0.0,10.799999999999955,0.0,1,1,0,0,,,49,49
35,cut,low_clearance,654.0,926.0,331.0,926.0,323.0,shared_edge:646:bottom|759:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,49,51
36,cut,low_clearance,331.0,926.0,331.0,968.0,42.0,shared_edge:1769:right|646:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,1,0,0,,,51,53
37,travel,low_clearance,331.0,968.0,654.0,948.0,323.6186026791414,shared_edge:2433:left|646:right,,0.0,0.0,0.0,0,0.0,0,0.0,323.6186026791414,0.0,1,1,0,0,,,53,53
38,cut,low_clearance,654.0,948.0,654.0,1210.0,262.0,shared_edge:2433:left|646:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,1,2,0,0,,,53,55
39,travel,low_clearance,654.0,1210.0,1305.8,655.0,856.0772395058754,shared_edge:1384:top|498:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,856.0772395058755,0.0,2,2,0,0,,,55,55
40,cut,low_clearance,1305.8,655.0,1332.8,655.0,27.0,shared_edge:1384:top|498:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,55,55
41,cut,low_clearance,1332.8,655.0,1332.8,913.0,258.0,shared_edge:2434:left|498:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,55,57
42,cut,low_clearance,1332.8,913.0,1577.8,913.0,245.0,single:2434:top,2434:top,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,2,0,0,,,57,58
43,cut,low_clearance,1577.8,913.0,1577.8,655.0,258.0,single:2434:right,2434:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,2,3,0,0,,,58,59
44,travel,low_clearance,1577.8,655.0,1305.8,628.0,273.3367885960468,collinear_edge:2467:top|2808:top,,0.0,0.0,0.0,0,0.0,0,0.0,273.33678859604674,0.0,3,3,0,0,,,59,59
45,cut,low_clearance,1305.8,628.0,664.8,628.0,641.0,collinear_edge:2467:top|2808:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,3,0,0,,,59,61
46,cut,low_clearance,664.8,628.0,664.8,626.0,2.0,shared_edge:2467:left|759:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,3,0,0,,,61,62
47,cut,low_clearance,664.8,626.0,664.8,326.0,300.0,shared_edge:2467:left|569:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,3,0,0,,,62,63
48,travel,low_clearance,664.8,326.0,664.8,317.0,9.0,shared_edge:1048:top|2467:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,9.0,0.0,3,3,0,0,,,63,63
49,cut,low_clearance,664.8,317.0,977.0,317.0,312.20000000000005,shared_edge:1048:top|2467:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,3,0,0,,,63,65
50,cut,low_clearance,977.0,317.0,985.3,317.0,8.299999999999955,shared_edge:1403:top|2467:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,3,0,0,,,65,66
51,cut,low_clearance,985.3,317.0,985.3,628.0,311.0,shared_edge:2467:right|2808:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,3,4,0,0,,,66,68
52,travel,low_clearance_detour,985.3,628.0,664.8,628.0,320.5,shared_edge:569:top|759:bottom,,0.0,0.0,0.0,0,0.0,1,320.5,320.5,0.0,4,4,0,0,,,68,68
53,travel,low_clearance_detour,664.8,628.0,664.8,626.0,2.0,shared_edge:569:top|759:bottom,,0.0,0.0,0.0,0,0.0,1,2.0,2.0,0.0,4,4,0,0,,,68,68
54,cut,low_clearance,664.8,626.0,331.0,626.0,333.79999999999995,shared_edge:569:top|759:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,4,5,0,0,,,68,70
55,travel,low_clearance,331.0,626.0,5.0,647.0,326.67568014775753,collinear_edge:746:left|88:left,,0.0,0.0,0.0,0,0.0,0,0.0,326.6756801477575,0.0,5,5,0,0,,,70,70
56,cut,low_clearance,5.0,647.0,5.0,5.0,642.0,collinear_edge:746:left|88:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5,5,0,0,,,70,72
57,travel,low_clearance,5.0,5.0,5.0,326.0,321.0,shared_edge:746:bottom|88:top,,0.0,0.0,0.0,0,0.0,0,0.0,321.0,0.0,5,5,0,0,,,72,72
58,cut,low_clearance,5.0,326.0,331.0,326.0,326.0,shared_edge:746:bottom|88:top,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,5,7,0,0,,,72,74
59,travel,low_clearance_detour,331.0,326.0,331.0,323.0,3.0,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,3.0,3.0,0.0,7,7,0,0,,,74,74
60,travel,low_clearance_detour,331.0,323.0,331.0,319.0,4.0,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,4.0,4.0,0.0,7,7,0,0,,,74,74
61,travel,low_clearance_detour,331.0,319.0,331.0,317.0,2.0,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,2.0,2.0,0.0,7,7,0,0,,,74,74
62,travel,low_clearance_detour,331.0,317.0,334.0,317.0,3.0,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,3.0,3.0,0.0,7,7,0,0,,,74,74
63,travel,low_clearance_detour,334.0,317.0,657.0,317.0,323.0,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,323.0,323.0,0.0,7,7,0,0,,,74,74
64,travel,low_clearance_detour,657.0,317.0,661.8,317.0,4.7999999999999545,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,4.7999999999999545,4.800000000000182,0.0,7,7,0,0,,,74,74
65,travel,low_clearance_detour,661.8,317.0,667.8,317.0,6.0,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,6.0,6.0,0.0,7,7,0,0,,,74,74
66,travel,low_clearance_detour,667.8,317.0,988.3,317.0,320.5,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,320.5,320.5,0.0,7,7,0,0,,,74,74
67,travel,low_clearance_detour,988.3,317.0,1329.8,317.0,341.5,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,341.5,341.5,0.0,7,7,0,0,,,74,74
68,travel,low_clearance_detour,1329.8,317.0,1580.8,317.0,251.0,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,251.0,251.0,0.0,7,7,0,0,,,74,74
69,travel,low_clearance_detour,1580.8,317.0,1614.0,317.0,33.200000000000045,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,33.200000000000045,33.19999999999982,0.0,7,7,0,0,,,74,74
70,travel,low_clearance_detour,1614.0,317.0,1617.0,317.0,3.0,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,1,3.0,3.0,0.0,7,7,0,0,,,74,74
71,cut,low_clearance,1617.0,317.0,1617.0,316.0,1.0,shared_edge:1874:left|2459:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7,7,0,0,,,74,75
72,travel,low_clearance,1617.0,316.0,1936.8,636.5,452.760742556154,shared_edge:1914:top|2414:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,452.7607425561537,0.0,7,7,0,0,,,75,75
73,cut,low_clearance,1936.8,636.5,2239.0,636.5,302.20000000000005,shared_edge:1914:top|2414:bottom,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7,7,0,0,,,75,76
74,cut,low_clearance,2239.0,636.5,2239.0,316.0,320.5,single:1914:right,1914:right,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7,7,0,0,,,76,77
75,travel,low_clearance,2239.0,316.0,1928.0,316.0,311.0,shared_edge:1874:right|1914:left,,0.0,0.0,0.0,0,0.0,0,0.0,311.0,0.0,7,7,0,0,,,77,77
76,cut,low_clearance,1928.0,316.0,1928.0,636.5,320.5,shared_edge:1874:right|1914:left,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,7,9,0,0,,,77,79
77,travel,low_clearance,1928.0,636.5,2274.8,636.5,346.8000000000002,shared_edge:1460:left|2414:right,,0.0,0.0,0.0,0,0.0,0,0.0,346.8000000000002,0.0,9,9,0,0,,,79,79
78,cut,low_clearance,2274.8,636.5,2274.8,889.0,252.5,shared_edge:1460:left|2414:right,,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,9,10,0,0,,,79,81
