case_id,baseline_method,target_method,rectangle_count,baseline_travel_mode_cost,target_travel_mode_cost,travel_mode_cost_delta,travel_mode_cost_reduction_pct,baseline_air_move_distance,target_air_move_distance,air_move_distance_reduction_pct,baseline_cutting_length,target_cutting_length,baseline_machining_cost,target_machining_cost,machining_cost_reduction_pct,baseline_hard_penalty,target_hard_penalty,hard_penalty_delta,baseline_stability_penalty,target_stability_penalty,stability_penalty_delta,stability_penalty_reduction,baseline_tool_event_count,target_tool_event_count,tool_event_count_reduction,baseline_runtime_ms,target_runtime_ms,runtime_ratio,process_key_winner
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv|344,greedy,process_aware_beam,22,5082.431698,7465.619928,2383.188230,-46.890708,4832.431698,7465.619928,-54.489921,20146.000000,20146.000000,25228.431698,27611.619928,-9.446438,0.000000,0.000000,0.000000,5.000000,0.000000,-5.000000,5.000000,39.000000,37.000000,2.000000,4.942416,390.544292,79.018903,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv|344,path_distance_local_search,process_aware_beam,22,5082.431698,7465.619928,2383.188230,-46.890708,4832.431698,7465.619928,-54.489921,20146.000000,20146.000000,25228.431698,27611.619928,-9.446438,0.000000,0.000000,0.000000,5.000000,0.000000,-5.000000,5.000000,39.000000,37.000000,2.000000,196.323292,390.544292,1.989292,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv|344,topology_process_aware,process_aware_beam,22,13053.007600,7465.619928,-5587.387672,42.805366,12803.007600,7465.619928,41.688546,20146.000000,20146.000000,33199.007600,27611.619928,16.829984,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.000000,37.000000,22.000000,186.865208,390.544292,2.089979,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv|346,greedy,process_aware_beam,20,5227.227671,7144.060451,1916.832780,-36.670161,4977.227671,7144.060451,-43.534934,17883.000000,17883.000000,23110.227671,25027.060451,-8.294305,0.000000,0.000000,0.000000,4.000000,0.000000,-4.000000,4.000000,43.000000,48.000000,-5.000000,8.307375,598.258834,72.015388,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv|346,path_distance_local_search,process_aware_beam,20,5026.741602,7144.060451,2117.318849,-42.121100,4776.741602,7144.060451,-49.559282,17883.000000,17883.000000,22909.741602,25027.060451,-9.242002,0.000000,0.000000,0.000000,4.000000,0.000000,-4.000000,4.000000,41.000000,48.000000,-7.000000,303.959750,598.258834,1.968217,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_full_beam\seed_1000\placements.csv|346,topology_process_aware,process_aware_beam,20,12752.773364,7144.060451,-5608.712913,43.980339,12252.773364,7144.060451,41.694339,17883.000000,17883.000000,30635.773364,25027.060451,18.307724,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,59.000000,48.000000,11.000000,227.111250,598.258834,2.634210,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv|333,greedy,process_aware_beam,25,6213.883755,10195.141722,3981.257966,-64.070364,6213.883755,9945.141722,-60.047116,20748.800000,20748.800000,26962.683755,30943.941722,-14.765807,0.000000,0.000000,0.000000,3.000000,0.000000,-3.000000,3.000000,56.000000,64.000000,-8.000000,8.033250,824.167416,102.594519,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv|333,path_distance_local_search,process_aware_beam,25,6213.883755,10195.141722,3981.257966,-64.070364,6213.883755,9945.141722,-60.047116,20748.800000,20748.800000,26962.683755,30943.941722,-14.765807,0.000000,0.000000,0.000000,3.000000,0.000000,-3.000000,3.000000,56.000000,64.000000,-8.000000,266.443167,824.167416,3.093220,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv|333,topology_process_aware,process_aware_beam,25,12233.445112,10195.141722,-2038.303390,16.661728,11733.445112,9945.141722,15.241077,20748.800000,20748.800000,32982.245112,30943.941722,6.180002,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,73.000000,64.000000,9.000000,252.169000,824.167416,3.268314,target
review_overnight_20260422.zip|review_overnight_20260422\review_t1_ind_a_5seed_300s\review_t1_ind_a_5seed_300s__data1\baseline_greedy\seed_1000\placements.csv|340,greedy,process_aware_beam,26,5604.991671,10405.340461,4800.348790,-85.644173,5354.991671,10405.340461,-94.311048,18565.100000,18565.100000,24170.091671,28970.440461,-19.860697,0.000000,0.000000,0.000000,3.000000,0.000000,-3.000000,3.000000,67.000000,68.000000,-1.000000,7.730083,971.464000,125.673165,target
